instance_id,instance_type,availability_zone,launch_time
i-1000,m5.large,us-east-1a,2024-01-02 13:08:00
i-1001,t3.medium,us-east-1b,2024-01-04 09:37:00
i-1002,t3.medium,us-east-1a,2024-01-02 10:14:00
i-1003,c5.large,us-east-1b,2024-01-01 17:24:00
i-1004,c5.large,us-east-1a,2024-01-03 09:41:00
i-1005,c5.large,us-east-1b,2024-01-03 10:49:00
i-1006,c5.large,us-east-1a,2024-01-03 06:28:00
i-1007,c5.large,us-east-1a,2024-01-03 05:53:00
i-1008,c5.large,us-east-1a,2024-01-02 22:52:00
i-1009,c5.large,us-east-1b,2024-01-03 09:13:00
i-1010,c5.large,us-east-1b,2024-01-02 19:32:00
i-1011,m5.large,us-east-1a,2024-01-03 13:35:00
i-1012,t3.medium,us-east-1b,2024-01-02 11:46:00
i-1013,t3.medium,us-east-1b,2024-01-01 03:54:00
i-1014,c5.large,us-east-1a,2024-01-02 15:43:00
i-1015,t3.medium,us-east-1b,2024-01-02 05:54:00
i-1016,c5.large,us-east-1a,2024-01-04 03:19:00
i-1017,t3.medium,us-east-1a,2024-01-02 01:02:00
i-1018,t3.medium,us-east-1a,2024-01-01 03:10:00
i-1019,c5.large,us-east-1a,2024-01-03 06:57:00
i-1020,m5.large,us-east-1b,2024-01-02 21:38:00
i-1021,m5.large,us-east-1b,2024-01-02 09:33:00
i-1022,m5.large,us-east-1a,2024-01-04 10:43:00
i-1023,m5.large,us-east-1b,2024-01-01 05:27:00
i-1024,t3.medium,us-east-1a,2024-01-03 16:28:00
i-1025,t3.medium,us-east-1a,2024-01-02 18:26:00
i-1026,t3.medium,us-east-1b,2024-01-03 23:57:00
i-1027,t3.medium,us-east-1b,2024-01-02 15:27:00
i-1028,m5.large,us-east-1b,2024-01-02 22:54:00
i-1029,m5.large,us-east-1b,2024-01-03 08:52:00
i-1030,m5.large,us-east-1b,2024-01-03 00:32:00
i-1031,c5.large,us-east-1b,2024-01-04 18:46:00
i-1032,t3.medium,us-east-1b,2024-01-03 19:01:00
i-1033,t3.medium,us-east-1a,2024-01-03 23:53:00
i-1034,c5.large,us-east-1a,2024-01-02 07:41:00
i-1035,c5.large,us-east-1a,2024-01-04 09:09:00
i-1036,m5.large,us-east-1b,2024-01-03 04:01:00
i-1037,m5.large,us-east-1a,2024-01-01 03:41:00
i-1038,m5.large,us-east-1a,2024-01-02 01:30:00
i-1039,m5.large,us-east-1a,2024-01-04 10:49:00
i-1040,t3.medium,us-east-1b,2024-01-04 03:31:00
i-1041,c5.large,us-east-1b,2024-01-01 05:00:00
i-1042,c5.large,us-east-1a,2024-01-03 15:07:00
i-1043,m5.large,us-east-1a,2024-01-02 08:34:00
i-1044,t3.medium,us-east-1a,2024-01-04 04:55:00
i-1045,t3.medium,us-east-1a,2024-01-03 04:22:00
i-1046,t3.medium,us-east-1a,2024-01-01 08:36:00
i-1047,m5.large,us-east-1b,2024-01-01 22:12:00
i-1048,c5.large,us-east-1b,2024-01-02 20:20:00
i-1049,m5.large,us-east-1a,2024-01-04 06:36:00
i-1050,m5.large,us-east-1b,2024-01-03 03:10:00
i-1051,c5.large,us-east-1b,2024-01-04 03:38:00
i-1052,c5.large,us-east-1b,2024-01-03 16:12:00
i-1053,c5.large,us-east-1b,2024-01-01 19:00:00
i-1054,m5.large,us-east-1b,2024-01-02 01:24:00
i-1055,t3.medium,us-east-1b,2024-01-01 03:41:00
i-1056,t3.medium,us-east-1b,2024-01-04 00:42:00
i-1057,m5.large,us-east-1b,2024-01-03 04:55:00
i-1058,t3.medium,us-east-1a,2024-01-03 12:32:00
i-1059,c5.large,us-east-1b,2024-01-01 10:40:00
i-1060,t3.medium,us-east-1b,2024-01-03 04:54:00
i-1061,c5.large,us-east-1a,2024-01-03 16:10:00
i-1062,t3.medium,us-east-1b,2024-01-02 23:25:00
i-1063,c5.large,us-east-1b,2024-01-03 20:44:00
i-1064,c5.large,us-east-1a,2024-01-01 14:33:00
i-1065,c5.large,us-east-1a,2024-01-04 17:57:00
i-1066,c5.large,us-east-1b,2024-01-01 15:01:00
i-1067,m5.large,us-east-1a,2024-01-04 15:56:00
i-1068,m5.large,us-east-1b,2024-01-01 01:29:00
i-1069,m5.large,us-east-1b,2024-01-02 01:44:00
i-1070,c5.large,us-east-1b,2024-01-03 16:26:00
i-1071,m5.large,us-east-1a,2024-01-01 18:29:00
i-1072,m5.large,us-east-1b,2024-01-03 23:20:00
i-1073,t3.medium,us-east-1a,2024-01-02 01:11:00
i-1074,m5.large,us-east-1b,2024-01-02 02:59:00
i-1075,c5.large,us-east-1b,2024-01-03 15:29:00
i-1076,t3.medium,us-east-1a,2024-01-04 01:05:00
