instance_id,termination_time,reason
i-1000,2024-01-03 06:08:00,price-too-high
i-1001,2024-01-04 23:37:00,capacity
i-1005,2024-01-03 18:49:00,capacity
i-1006,2024-01-03 17:28:00,capacity
i-1007,2024-01-03 14:53:00,capacity
i-1008,2024-01-03 07:52:00,price-too-high
i-1011,2024-01-04 09:35:00,capacity
i-1012,2024-01-02 13:46:00,capacity
i-1013,2024-01-01 11:54:00,capacity
i-1016,2024-01-04 09:19:00,capacity
i-1017,2024-01-02 16:02:00,capacity
i-1018,2024-01-01 11:10:00,capacity
i-1019,2024-01-03 15:57:00,price-too-high
i-1020,2024-01-03 18:38:00,price-too-high
i-1022,2024-01-04 20:43:00,capacity
i-1023,2024-01-01 11:27:00,capacity
i-1025,2024-01-03 15:26:00,capacity
i-1028,2024-01-03 05:54:00,capacity
i-1029,2024-01-04 01:52:00,price-too-high
i-1031,2024-01-04 23:46:00,price-too-high
i-1032,2024-01-04 10:01:00,price-too-high
i-1033,2024-01-04 08:53:00,capacity
i-1034,2024-01-02 10:41:00,price-too-high
i-1038,2024-01-02 15:30:00,capacity
i-1039,2024-01-04 20:49:00,price-too-high
i-1041,2024-01-01 08:00:00,price-too-high
i-1043,2024-01-02 12:34:00,price-too-high
i-1044,2024-01-05 01:55:00,price-too-high
i-1046,2024-01-01 17:36:00,price-too-high
i-1047,2024-01-02 10:12:00,price-too-high
i-1049,2024-01-04 07:36:00,capacity
i-1050,2024-01-03 16:10:00,capacity
i-1051,2024-01-04 19:38:00,price-too-high
i-1052,2024-01-04 06:12:00,price-too-high
i-1056,2024-01-04 06:42:00,price-too-high
i-1058,2024-01-03 21:32:00,capacity
i-1059,2024-01-01 22:40:00,price-too-high
i-1061,2024-01-03 18:10:00,capacity
i-1062,2024-01-03 15:25:00,capacity
i-1068,2024-01-02 01:29:00,capacity
i-1069,2024-01-02 07:44:00,price-too-high
i-1070,2024-01-04 10:26:00,price-too-high
i-1071,2024-01-01 22:29:00,price-too-high
i-1072,2024-01-04 18:20:00,capacity
i-1073,2024-01-03 00:11:00,capacity
i-1074,2024-01-02 15:59:00,price-too-high
i-1076,2024-01-04 07:05:00,price-too-high
i-1078,2024-01-05 02:06:00,price-too-high
i-1079,2024-01-03 21:10:00,capacity
i-1080,2024-01-03 10:00:00,capacity
i-1082,2024-01-02 13:05:00,capacity
i-1083,2024-01-04 13:32:00,capacity
i-1084,2024-01-02 10:40:00,capacity
i-1085,2024-01-03 06:54:00,price-too-high
i-1086,2024-01-02 19:19:00,price-too-high
i-1087,2024-01-03 14:54:00,price-too-high
i-1089,2024-01-01 16:01:00,capacity
i-1091,2024-01-03 18:20:00,price-too-high
i-1092,2024-01-02 12:58:00,capacity
i-1093,2024-01-03 17:24:00,price-too-high
i-1094,2024-01-04 13:29:00,price-too-high
i-1096,2024-01-03 20:33:00,capacity
i-1098,2024-01-02 14:11:00,price-too-high
i-1099,2024-01-03 14:17:00,price-too-high
i-1100,2024-01-05 03:22:00,capacity
i-1102,2024-01-02 12:48:00,price-too-high
i-1107,2024-01-01 01:23:00,capacity
i-1108,2024-01-02 14:43:00,price-too-high
i-1109,2024-01-04 00:03:00,price-too-high
i-1112,2024-01-05 19:44:00,capacity
i-1113,2024-01-05 06:20:00,capacity
i-1117,2024-01-01 16:01:00,capacity
i-1121,2024-01-01 19:04:00,capacity
i-1122,2024-01-04 01:41:00,capacity
i-1123,2024-01-01 18:03:00,capacity
i-1124,2024-01-03 10:02:00,price-too-high
i-1128,2024-01-04 01:24:00,capacity
i-1132,2024-01-02 00:51:00,price-too-high
i-1133,2024-01-03 12:03:00,price-too-high
i-1135,2024-01-05 08:46:00,capacity
i-1136,2024-01-01 22:27:00,price-too-high
i-1137,2024-01-01 16:30:00,price-too-high
i-1139,2024-01-04 19:37:00,price-too-high
i-1140,2024-01-03 16:02:00,price-too-high
i-1141,2024-01-03 11:44:00,capacity
i-1142,2024-01-03 14:43:00,price-too-high
i-1143,2024-01-04 21:30:00,price-too-high
i-1146,2024-01-05 05:09:00,capacity
i-1148,2024-01-05 00:01:00,price-too-high
i-1149,2024-01-03 02:33:00,price-too-high
i-1150,2024-01-01 20:01:00,price-too-high
i-1151,2024-01-02 20:11:00,capacity
i-1153,2024-01-04 07:15:00,capacity
i-1156,2024-01-02 04:44:00,price-too-high
i-1157,2024-01-03 00:41:00,price-too-high
i-1158,2024-01-03 07:37:00,capacity
i-1159,2024-01-02 18:50:00,capacity
i-1160,2024-01-03 18:52:00,price-too-high
i-1162,2024-01-05 08:33:00,price-too-high
i-1163,2024-01-04 17:47:00,price-too-high
i-1164,2024-01-03 09:16:00,price-too-high
i-1165,2024-01-02 21:48:00,price-too-high
i-1169,2024-01-05 03:39:00,price-too-high
i-1170,2024-01-03 20:53:00,price-too-high
i-1171,2024-01-02 02:59:00,capacity
i-1173,2024-01-05 12:20:00,capacity
i-1174,2024-01-02 10:27:00,capacity
i-1175,2024-01-02 03:51:00,price-too-high
i-1177,2024-01-04 10:39:00,price-too-high
i-1180,2024-01-03 21:03:00,capacity
i-1181,2024-01-02 12:05:00,price-too-high
i-1183,2024-01-01 18:13:00,capacity
i-1184,2024-01-03 08:37:00,capacity
i-1185,2024-01-03 23:41:00,capacity
i-1186,2024-01-02 16:33:00,price-too-high
i-1187,2024-01-02 09:40:00,price-too-high
i-1190,2024-01-04 01:02:00,price-too-high
i-1191,2024-01-03 01:28:00,price-too-high
i-1192,2024-01-04 21:12:00,capacity
i-1193,2024-01-01 08:53:00,price-too-high
i-1195,2024-01-04 07:29:00,capacity
i-1196,2024-01-03 16:34:00,price-too-high
i-1197,2024-01-02 08:58:00,price-too-high
i-1198,2024-01-01 04:21:00,price-too-high
i-1199,2024-01-04 03:21:00,capacity
